Episode 1 done, steps = 764, rewards = -21.0, consume time = 46.18882203102112s
Episode 2 done, steps = 1528, rewards = -21.0, consume time = 91.44590592384338s
Episode 3 done, steps = 2292, rewards = -21.0, consume time = 136.85174107551575s
Episode 4 done, steps = 3056, rewards = -21.0, consume time = 186.97227501869202s
Episode 5 done, steps = 3820, rewards = -21.0, consume time = 229.40014910697937s
Episode 6 done, steps = 4584, rewards = -21.0, consume time = 277.8438169956207s
Episode 7 done, steps = 5348, rewards = -21.0, consume time = 318.47742199897766s
Episode 8 done, steps = 6112, rewards = -21.0, consume time = 357.7171459197998s
Episode 9 done, steps = 6876, rewards = -21.0, consume time = 393.86402106285095s
Episode 10 done, steps = 7668, rewards = -21.0, consume time = 428.2402229309082s
Episode 11 done, steps = 8432, rewards = -21.0, consume time = 461.3502869606018s
Episode 12 done, steps = 9196, rewards = -21.0, consume time = 491.8774061203003s
Episode 13 done, steps = 9960, rewards = -21.0, consume time = 523.2468597888947s
Episode 14 done, steps = 10724, rewards = -21.0, consume time = 556.8277509212494s
Episode 15 done, steps = 11488, rewards = -21.0, consume time = 589.9662108421326s
Episode 16 done, steps = 12252, rewards = -21.0, consume time = 626.2033450603485s
Episode 17 done, steps = 13016, rewards = -21.0, consume time = 659.048681974411s
Episode 18 done, steps = 13780, rewards = -21.0, consume time = 692.7970259189606s
Episode 19 done, steps = 14544, rewards = -21.0, consume time = 725.4325058460236s
Episode 20 done, steps = 15308, rewards = -21.0, consume time = 759.5614511966705s
Episode 21 done, steps = 16072, rewards = -21.0, consume time = 792.615581035614s
Episode 22 done, steps = 16836, rewards = -21.0, consume time = 824.3933629989624s
Episode 23 done, steps = 17600, rewards = -21.0, consume time = 855.6491589546204s
Episode 24 done, steps = 18364, rewards = -21.0, consume time = 887.7444739341736s
Episode 25 done, steps = 19128, rewards = -21.0, consume time = 920.3141808509827s
Episode 26 done, steps = 19892, rewards = -21.0, consume time = 953.0948438644409s
Episode 27 done, steps = 20656, rewards = -21.0, consume time = 991.0593419075012s
Episode 28 done, steps = 21420, rewards = -21.0, consume time = 1021.767914056778s
Episode 29 done, steps = 22184, rewards = -21.0, consume time = 1052.5083191394806s
Episode 30 done, steps = 22948, rewards = -21.0, consume time = 1083.7623019218445s
Episode 31 done, steps = 23712, rewards = -21.0, consume time = 1114.3486721515656s
Episode 32 done, steps = 24476, rewards = -21.0, consume time = 1144.8050298690796s
Episode 33 done, steps = 25240, rewards = -21.0, consume time = 1176.2270669937134s
Episode 34 done, steps = 26004, rewards = -21.0, consume time = 1204.2532968521118s
Episode 35 done, steps = 26768, rewards = -21.0, consume time = 1232.44606590271s
Episode 36 done, steps = 27560, rewards = -21.0, consume time = 1261.2938010692596s
Episode 37 done, steps = 28324, rewards = -21.0, consume time = 1287.707457780838s
Episode 38 done, steps = 29088, rewards = -21.0, consume time = 1314.2115931510925s
Episode 39 done, steps = 29852, rewards = -21.0, consume time = 1347.0825309753418s
Episode 40 done, steps = 30616, rewards = -21.0, consume time = 1375.2248520851135s
Episode 41 done, steps = 31380, rewards = -21.0, consume time = 1402.816735982895s
Episode 42 done, steps = 32144, rewards = -21.0, consume time = 1430.4070479869843s
Episode 43 done, steps = 32936, rewards = -21.0, consume time = 1458.4488270282745s
Episode 44 done, steps = 33700, rewards = -21.0, consume time = 1489.24613904953s
Episode 45 done, steps = 34464, rewards = -21.0, consume time = 1515.8511519432068s
Episode 46 done, steps = 35228, rewards = -21.0, consume time = 1541.205626964569s
Episode 47 done, steps = 36065, rewards = -20.0, consume time = 1568.9051558971405s
Episode 48 done, steps = 36829, rewards = -21.0, consume time = 1593.8632490634918s
Episode 49 done, steps = 37593, rewards = -21.0, consume time = 1619.0889418125153s
Episode 50 done, steps = 38357, rewards = -21.0, consume time = 1644.336268901825s
Episode 51 done, steps = 39182, rewards = -21.0, consume time = 1671.6453549861908s
Episode 52 done, steps = 39946, rewards = -21.0, consume time = 1703.4044389724731s
Episode 53 done, steps = 40710, rewards = -21.0, consume time = 1731.0627448558807s
Episode 54 done, steps = 41474, rewards = -21.0, consume time = 1756.7211310863495s
Episode 55 done, steps = 42238, rewards = -21.0, consume time = 1781.6121728420258s
Episode 56 done, steps = 43002, rewards = -21.0, consume time = 1806.7384119033813s
Episode 57 done, steps = 43766, rewards = -21.0, consume time = 1832.5216238498688s
Episode 58 done, steps = 44530, rewards = -21.0, consume time = 1857.762423992157s
Episode 59 done, steps = 45294, rewards = -21.0, consume time = 1883.0590510368347s
Episode 60 done, steps = 46142, rewards = -21.0, consume time = 1910.8365850448608s
Episode 61 done, steps = 46906, rewards = -21.0, consume time = 1935.7829468250275s
Episode 62 done, steps = 47670, rewards = -21.0, consume time = 1960.7407341003418s
Episode 63 done, steps = 48434, rewards = -21.0, consume time = 1985.6555180549622s
Episode 64 done, steps = 49198, rewards = -21.0, consume time = 2010.5799798965454s
Episode 65 done, steps = 49962, rewards = -21.0, consume time = 2036.4458479881287s
Episode 66 done, steps = 50726, rewards = -21.0, consume time = 2064.7665519714355s
Episode 67 done, steps = 51490, rewards = -21.0, consume time = 2095.362452983856s
Episode 68 done, steps = 52254, rewards = -21.0, consume time = 2121.4297349452972s
Episode 69 done, steps = 53018, rewards = -21.0, consume time = 2147.4060020446777s
Episode 70 done, steps = 53782, rewards = -21.0, consume time = 2173.2164261341095s
Episode 71 done, steps = 54546, rewards = -21.0, consume time = 2198.1907348632812s
Episode 72 done, steps = 55310, rewards = -21.0, consume time = 2223.237394094467s
Episode 73 done, steps = 56074, rewards = -21.0, consume time = 2248.8420119285583s
Episode 74 done, steps = 56838, rewards = -21.0, consume time = 2273.8712799549103s
Episode 75 done, steps = 57602, rewards = -21.0, consume time = 2298.878254890442s
Episode 76 done, steps = 58366, rewards = -21.0, consume time = 2324.501942873001s
Episode 77 done, steps = 59130, rewards = -21.0, consume time = 2349.628024816513s
Episode 78 done, steps = 59894, rewards = -21.0, consume time = 2374.6238849163055s
Episode 79 done, steps = 60658, rewards = -21.0, consume time = 2400.1868948936462s
Episode 80 done, steps = 61422, rewards = -21.0, consume time = 2426.150370836258s
Episode 81 done, steps = 62186, rewards = -21.0, consume time = 2456.816249847412s
Episode 82 done, steps = 62950, rewards = -21.0, consume time = 2484.715917825699s
Episode 83 done, steps = 63714, rewards = -21.0, consume time = 2509.6886069774628s
Episode 84 done, steps = 64478, rewards = -21.0, consume time = 2534.863701105118s
Episode 85 done, steps = 65242, rewards = -21.0, consume time = 2560.609256029129s
Episode 86 done, steps = 66006, rewards = -21.0, consume time = 2585.657462835312s
Episode 87 done, steps = 66770, rewards = -21.0, consume time = 2610.6189498901367s
Episode 88 done, steps = 67534, rewards = -21.0, consume time = 2635.881000995636s
Episode 89 done, steps = 68298, rewards = -21.0, consume time = 2661.808969974518s
Episode 90 done, steps = 69062, rewards = -21.0, consume time = 2687.749862909317s
Episode 91 done, steps = 69826, rewards = -21.0, consume time = 2713.7553589344025s
Episode 92 done, steps = 70637, rewards = -21.0, consume time = 2741.848085165024s
Episode 93 done, steps = 71401, rewards = -21.0, consume time = 2767.847205877304s
Episode 94 done, steps = 72165, rewards = -21.0, consume time = 2793.825330018997s
Episode 95 done, steps = 72929, rewards = -21.0, consume time = 2821.1952788829803s
Episode 96 done, steps = 73910, rewards = -19.0, consume time = 2860.4478528499603s
Episode 97 done, steps = 74833, rewards = -19.0, consume time = 2891.2230639457703s
Episode 98 done, steps = 75597, rewards = -21.0, consume time = 2916.216061115265s
Episode 99 done, steps = 76361, rewards = -21.0, consume time = 2941.2583599090576s
Episode 100 done, steps = 77153, rewards = -21.0, consume time = 2967.161521911621s
Episode 101 done, steps = 77917, rewards = -21.0, consume time = 2992.722742795944s
Episode 102 done, steps = 78681, rewards = -21.0, consume time = 3017.8570709228516s
Episode 103 done, steps = 79445, rewards = -21.0, consume time = 3043.0979340076447s
Episode 104 done, steps = 80209, rewards = -21.0, consume time = 3068.5216670036316s
Episode 105 done, steps = 80973, rewards = -21.0, consume time = 3093.547282934189s
Episode 106 done, steps = 81817, rewards = -21.0, consume time = 3121.9961829185486s
Episode 107 done, steps = 82581, rewards = -21.0, consume time = 3147.917265892029s
Episode 108 done, steps = 83345, rewards = -21.0, consume time = 3173.9967250823975s
