Episode 1 done: steps = 412, rewards = 105.0, consume time = 13.878219842910767s
Episode 2 done: steps = 841, rewards = 120.0, consume time = 30.076756954193115s
Episode 3 done: steps = 1314, rewards = 110.0, consume time = 47.12782406806946s
Episode 4 done: steps = 1886, rewards = 160.0, consume time = 64.89801383018494s
Episode 5 done: steps = 2527, rewards = 195.0, consume time = 84.33132696151733s
Episode 6 done: steps = 3061, rewards = 410.0, consume time = 100.42213606834412s
Episode 7 done: steps = 3662, rewards = 170.0, consume time = 117.84388089179993s
Episode 8 done: steps = 4128, rewards = 105.0, consume time = 129.95345306396484s
Episode 9 done: steps = 4619, rewards = 150.0, consume time = 142.81873512268066s
Episode 10 done: steps = 4906, rewards = 55.0, consume time = 150.18853092193604s
Episode 11 done: steps = 5627, rewards = 220.0, consume time = 169.1260449886322s
Episode 12 done: steps = 6085, rewards = 90.0, consume time = 180.88503003120422s
Episode 13 done: steps = 6512, rewards = 45.0, consume time = 191.62320804595947s
Episode 14 done: steps = 6796, rewards = 30.0, consume time = 198.8148148059845s
Episode 15 done: steps = 7604, rewards = 410.0, consume time = 218.7914001941681s
Episode 16 done: steps = 8136, rewards = 80.0, consume time = 232.36576986312866s
Episode 17 done: steps = 8637, rewards = 90.0, consume time = 245.09130096435547s
Episode 18 done: steps = 9462, rewards = 245.0, consume time = 265.25285506248474s
Episode 19 done: steps = 9994, rewards = 225.0, consume time = 278.41652393341064s
Episode 20 done: steps = 10516, rewards = 75.0, consume time = 291.83364391326904s
Episode 21 done: steps = 11152, rewards = 205.0, consume time = 307.7759940624237s
Episode 22 done: steps = 11680, rewards = 135.0, consume time = 320.56595396995544s
Episode 23 done: steps = 12060, rewards = 155.0, consume time = 329.89511704444885s
Episode 24 done: steps = 12528, rewards = 105.0, consume time = 341.20499086380005s
Episode 25 done: steps = 13051, rewards = 250.0, consume time = 353.8810930252075s
Episode 26 done: steps = 13577, rewards = 200.0, consume time = 366.6231038570404s
Episode 27 done: steps = 14274, rewards = 210.0, consume time = 387.9461169242859s
Episode 28 done: steps = 14856, rewards = 155.0, consume time = 405.7333869934082s
Episode 29 done: steps = 15146, rewards = 20.0, consume time = 412.4720838069916s
Episode 30 done: steps = 15683, rewards = 135.0, consume time = 425.14957785606384s
Episode 31 done: steps = 15984, rewards = 45.0, consume time = 432.42213702201843s
Episode 32 done: steps = 16601, rewards = 160.0, consume time = 448.6914839744568s
Episode 33 done: steps = 17116, rewards = 65.0, consume time = 462.58723402023315s
Episode 34 done: steps = 17745, rewards = 400.0, consume time = 478.476331949234s
Episode 35 done: steps = 18256, rewards = 90.0, consume time = 490.6218228340149s
Episode 36 done: steps = 18959, rewards = 215.0, consume time = 507.4768691062927s
Episode 37 done: steps = 19279, rewards = 105.0, consume time = 515.1902210712433s
Episode 38 done: steps = 19603, rewards = 65.0, consume time = 523.1131858825684s
Episode 39 done: steps = 20022, rewards = 90.0, consume time = 533.1874039173126s
Episode 40 done: steps = 20698, rewards = 210.0, consume time = 549.4791190624237s
Episode 41 done: steps = 21340, rewards = 190.0, consume time = 565.1377849578857s
Episode 42 done: steps = 21855, rewards = 100.0, consume time = 577.8847332000732s
Episode 43 done: steps = 22280, rewards = 75.0, consume time = 588.1866619586945s
Episode 44 done: steps = 22571, rewards = 35.0, consume time = 595.7268660068512s
Episode 45 done: steps = 23291, rewards = 150.0, consume time = 613.1304590702057s
Episode 46 done: steps = 23774, rewards = 100.0, consume time = 624.8526780605316s
Episode 47 done: steps = 24316, rewards = 210.0, consume time = 637.9739480018616s
Episode 48 done: steps = 24781, rewards = 120.0, consume time = 649.2490530014038s
Episode 49 done: steps = 25383, rewards = 265.0, consume time = 663.8357770442963s
Episode 50 done: steps = 25864, rewards = 110.0, consume time = 675.2153570652008s
Episode 51 done: steps = 26250, rewards = 120.0, consume time = 684.583564043045s
Episode 52 done: steps = 26546, rewards = 120.0, consume time = 691.8962631225586s
Episode 53 done: steps = 26919, rewards = 75.0, consume time = 701.0233469009399s
Episode 54 done: steps = 27399, rewards = 135.0, consume time = 712.8783421516418s
