Episode 1 done: steps = 764, rewards = -21.0, consume time = 2.8005001544952393s
Episode 2 done: steps = 1528, rewards = -21.0, consume time = 5.624242067337036s
Episode 3 done: steps = 2292, rewards = -21.0, consume time = 8.485896110534668s
Episode 4 done: steps = 3257, rewards = -19.0, consume time = 12.16428804397583s
Episode 5 done: steps = 4021, rewards = -21.0, consume time = 15.065312147140503s
Episode 6 done: steps = 4785, rewards = -21.0, consume time = 17.961934089660645s
Episode 7 done: steps = 5549, rewards = -21.0, consume time = 20.917054176330566s
Episode 8 done: steps = 6313, rewards = -21.0, consume time = 23.916221141815186s
Episode 9 done: steps = 7077, rewards = -21.0, consume time = 27.08464217185974s
Episode 10 done: steps = 7841, rewards = -21.0, consume time = 30.318950176239014s
Episode 11 done: steps = 8605, rewards = -21.0, consume time = 33.59760904312134s
Episode 12 done: steps = 9369, rewards = -21.0, consume time = 37.05151414871216s
Episode 13 done: steps = 10133, rewards = -21.0, consume time = 40.471787214279175s
Episode 14 done: steps = 10897, rewards = -21.0, consume time = 44.109862327575684s
Episode 15 done: steps = 11661, rewards = -21.0, consume time = 47.53011631965637s
Episode 16 done: steps = 12425, rewards = -21.0, consume time = 50.81802821159363s
Episode 17 done: steps = 13295, rewards = -20.0, consume time = 54.69351315498352s
Episode 18 done: steps = 14059, rewards = -21.0, consume time = 58.05521011352539s
Episode 19 done: steps = 14823, rewards = -21.0, consume time = 61.462023973464966s
Episode 20 done: steps = 15736, rewards = -21.0, consume time = 65.46507406234741s
Episode 21 done: steps = 16500, rewards = -21.0, consume time = 68.91788601875305s
Episode 22 done: steps = 17264, rewards = -21.0, consume time = 72.40728211402893s
Episode 23 done: steps = 18028, rewards = -21.0, consume time = 75.90934419631958s
Episode 24 done: steps = 18792, rewards = -21.0, consume time = 79.4742751121521s
Episode 25 done: steps = 19556, rewards = -21.0, consume time = 83.00451302528381s
Episode 26 done: steps = 20320, rewards = -21.0, consume time = 86.47020697593689s
Episode 27 done: steps = 21084, rewards = -21.0, consume time = 89.99291229248047s
Episode 28 done: steps = 21848, rewards = -21.0, consume time = 93.46036624908447s
Episode 29 done: steps = 22612, rewards = -21.0, consume time = 96.92972421646118s
Episode 30 done: steps = 23376, rewards = -21.0, consume time = 100.49717712402344s
Episode 31 done: steps = 24367, rewards = -20.0, consume time = 104.96190118789673s
Episode 32 done: steps = 25131, rewards = -21.0, consume time = 108.43490719795227s
Episode 33 done: steps = 25957, rewards = -21.0, consume time = 112.26371622085571s
Episode 34 done: steps = 26721, rewards = -21.0, consume time = 115.85054230690002s
Episode 35 done: steps = 27564, rewards = -20.0, consume time = 119.73478031158447s
Episode 36 done: steps = 28375, rewards = -21.0, consume time = 123.50002527236938s
Episode 37 done: steps = 29168, rewards = -21.0, consume time = 127.12201404571533s
Episode 38 done: steps = 29932, rewards = -21.0, consume time = 130.74059915542603s
Episode 39 done: steps = 30696, rewards = -21.0, consume time = 134.24616122245789s
Episode 40 done: steps = 31460, rewards = -21.0, consume time = 137.8289451599121s
Episode 41 done: steps = 32224, rewards = -21.0, consume time = 141.37157201766968s
Episode 42 done: steps = 33172, rewards = -21.0, consume time = 145.66156697273254s
Episode 43 done: steps = 34015, rewards = -20.0, consume time = 149.5027301311493s
Episode 44 done: steps = 34779, rewards = -21.0, consume time = 152.9246311187744s
Episode 45 done: steps = 35543, rewards = -21.0, consume time = 156.44169235229492s
Episode 46 done: steps = 36307, rewards = -21.0, consume time = 159.97385215759277s
Episode 47 done: steps = 37071, rewards = -21.0, consume time = 163.49974298477173s
Episode 48 done: steps = 37891, rewards = -21.0, consume time = 167.30732226371765s
Episode 49 done: steps = 38693, rewards = -21.0, consume time = 170.9958791732788s
Episode 50 done: steps = 39457, rewards = -21.0, consume time = 174.5980281829834s
Episode 51 done: steps = 40300, rewards = -20.0, consume time = 178.68030714988708s
Episode 52 done: steps = 41092, rewards = -21.0, consume time = 182.6363661289215s
Episode 53 done: steps = 41856, rewards = -21.0, consume time = 186.38449001312256s
Episode 54 done: steps = 42620, rewards = -21.0, consume time = 189.8973832130432s
Episode 55 done: steps = 43384, rewards = -21.0, consume time = 193.50618410110474s
Episode 56 done: steps = 44148, rewards = -21.0, consume time = 197.03085231781006s
Episode 57 done: steps = 45126, rewards = -21.0, consume time = 201.50366520881653s
Episode 58 done: steps = 46046, rewards = -20.0, consume time = 205.7969012260437s
Episode 59 done: steps = 46810, rewards = -21.0, consume time = 209.35336303710938s
Episode 60 done: steps = 47698, rewards = -20.0, consume time = 213.4822289943695s
Episode 61 done: steps = 48462, rewards = -21.0, consume time = 217.05407428741455s
Episode 62 done: steps = 49316, rewards = -21.0, consume time = 220.93984723091125s
Episode 63 done: steps = 50080, rewards = -21.0, consume time = 224.49197435379028s
Episode 64 done: steps = 51039, rewards = -20.0, consume time = 228.9797441959381s
Episode 65 done: steps = 51909, rewards = -20.0, consume time = 233.06332921981812s
Episode 66 done: steps = 52702, rewards = -21.0, consume time = 236.8592381477356s
Episode 67 done: steps = 53683, rewards = -20.0, consume time = 241.44622111320496s
Episode 68 done: steps = 54604, rewards = -20.0, consume time = 245.77891421318054s
Episode 69 done: steps = 55398, rewards = -21.0, consume time = 249.36287021636963s
Episode 70 done: steps = 56222, rewards = -21.0, consume time = 253.2532081604004s
Episode 71 done: steps = 57171, rewards = -20.0, consume time = 257.7045900821686s
Episode 72 done: steps = 58073, rewards = -21.0, consume time = 261.9512221813202s
Episode 73 done: steps = 58837, rewards = -21.0, consume time = 265.3767020702362s
Episode 74 done: steps = 59601, rewards = -21.0, consume time = 269.0007541179657s
Episode 75 done: steps = 60590, rewards = -20.0, consume time = 273.5877192020416s
Episode 76 done: steps = 61490, rewards = -21.0, consume time = 277.89890718460083s
Episode 77 done: steps = 62376, rewards = -21.0, consume time = 282.04058814048767s
Episode 78 done: steps = 63308, rewards = -20.0, consume time = 286.3496882915497s
Episode 79 done: steps = 64072, rewards = -21.0, consume time = 289.93574619293213s
Episode 80 done: steps = 65099, rewards = -18.0, consume time = 294.68189907073975s
Episode 81 done: steps = 65863, rewards = -21.0, consume time = 298.2776870727539s
Episode 82 done: steps = 66749, rewards = -21.0, consume time = 302.36687707901s
Episode 83 done: steps = 67621, rewards = -20.0, consume time = 306.49769496917725s
Episode 84 done: steps = 68485, rewards = -21.0, consume time = 310.5837912559509s
Episode 85 done: steps = 69267, rewards = -21.0, consume time = 314.2388610839844s
Episode 86 done: steps = 70031, rewards = -21.0, consume time = 317.8807351589203s
Episode 87 done: steps = 70855, rewards = -21.0, consume time = 321.7544062137604s
Episode 88 done: steps = 71677, rewards = -21.0, consume time = 325.72361516952515s
Episode 89 done: steps = 72460, rewards = -21.0, consume time = 329.33974719047546s
Episode 90 done: steps = 73303, rewards = -21.0, consume time = 333.27249908447266s
Episode 91 done: steps = 74277, rewards = -21.0, consume time = 337.81164813041687s
Episode 92 done: steps = 75041, rewards = -21.0, consume time = 341.53951120376587s
Episode 93 done: steps = 75805, rewards = -21.0, consume time = 345.1678431034088s
Episode 94 done: steps = 76747, rewards = -21.0, consume time = 349.5602660179138s
Episode 95 done: steps = 77607, rewards = -21.0, consume time = 353.64619398117065s
Episode 96 done: steps = 78399, rewards = -21.0, consume time = 357.4673411846161s
Episode 97 done: steps = 79210, rewards = -21.0, consume time = 361.3650600910187s
Episode 98 done: steps = 80072, rewards = -20.0, consume time = 365.42460107803345s
Episode 99 done: steps = 80836, rewards = -21.0, consume time = 369.0674183368683s
Episode 100 done: steps = 81628, rewards = -21.0, consume time = 372.851202249527s
Episode 101 done: steps = 82667, rewards = -20.0, consume time = 377.56976318359375s
Episode 102 done: steps = 83626, rewards = -20.0, consume time = 382.18141531944275s
Episode 103 done: steps = 84480, rewards = -21.0, consume time = 386.10961723327637s
Episode 104 done: steps = 85263, rewards = -21.0, consume time = 389.8962321281433s
Episode 105 done: steps = 86027, rewards = -21.0, consume time = 393.54341197013855s
Episode 106 done: steps = 86819, rewards = -21.0, consume time = 397.28736329078674s
Episode 107 done: steps = 87611, rewards = -21.0, consume time = 401.0781981945038s
Episode 108 done: steps = 88522, rewards = -20.0, consume time = 405.2066481113434s
Episode 109 done: steps = 89466, rewards = -20.0, consume time = 409.5999171733856s
Episode 110 done: steps = 90337, rewards = -21.0, consume time = 413.72906398773193s
Episode 111 done: steps = 91235, rewards = -20.0, consume time = 417.9237723350525s
Episode 112 done: steps = 92134, rewards = -20.0, consume time = 422.22566318511963s
Episode 113 done: steps = 93006, rewards = -21.0, consume time = 426.3374352455139s
Episode 114 done: steps = 93798, rewards = -21.0, consume time = 430.14705896377563s
Episode 115 done: steps = 94682, rewards = -21.0, consume time = 434.2931079864502s
Episode 116 done: steps = 95563, rewards = -21.0, consume time = 438.498651266098s
Episode 117 done: steps = 96681, rewards = -19.0, consume time = 443.8690981864929s
Episode 118 done: steps = 97744, rewards = -19.0, consume time = 448.91026306152344s
Episode 119 done: steps = 98767, rewards = -20.0, consume time = 453.6877851486206s
Episode 120 done: steps = 99619, rewards = -21.0, consume time = 457.73058319091797s
Episode 121 done: steps = 100613, rewards = -18.0, consume time = 462.5241882801056s
Episode 122 done: steps = 101724, rewards = -18.0, consume time = 467.7644941806793s
Episode 123 done: steps = 102516, rewards = -21.0, consume time = 471.51177310943604s
Episode 124 done: steps = 103365, rewards = -21.0, consume time = 475.68180108070374s
Episode 125 done: steps = 104341, rewards = -19.0, consume time = 480.33622312545776s
Episode 126 done: steps = 105123, rewards = -21.0, consume time = 484.1481521129608s
Episode 127 done: steps = 106050, rewards = -20.0, consume time = 488.5522372722626s
Episode 128 done: steps = 107125, rewards = -19.0, consume time = 493.4640791416168s
Episode 129 done: steps = 108121, rewards = -19.0, consume time = 498.1976752281189s
Episode 130 done: steps = 109006, rewards = -21.0, consume time = 502.5008752346039s
Episode 131 done: steps = 109983, rewards = -21.0, consume time = 507.11576414108276s
Episode 132 done: steps = 110942, rewards = -20.0, consume time = 511.7138361930847s
Episode 133 done: steps = 111779, rewards = -20.0, consume time = 515.7368981838226s
Episode 134 done: steps = 112971, rewards = -17.0, consume time = 521.3974530696869s
Episode 135 done: steps = 113823, rewards = -21.0, consume time = 525.7881600856781s
Episode 136 done: steps = 114756, rewards = -20.0, consume time = 530.596577167511s
Episode 137 done: steps = 115700, rewards = -21.0, consume time = 535.371710062027s
Episode 138 done: steps = 116583, rewards = -21.0, consume time = 539.7941381931305s
Episode 139 done: steps = 117465, rewards = -21.0, consume time = 544.1990442276001s
Episode 140 done: steps = 118413, rewards = -20.0, consume time = 548.659420967102s
Episode 141 done: steps = 119205, rewards = -21.0, consume time = 552.4275891780853s
Episode 142 done: steps = 119997, rewards = -21.0, consume time = 556.1833863258362s
Episode 143 done: steps = 121012, rewards = -18.0, consume time = 561.035126209259s
Episode 144 done: steps = 121795, rewards = -21.0, consume time = 564.9100592136383s
Episode 145 done: steps = 122854, rewards = -19.0, consume time = 569.9298660755157s
Episode 146 done: steps = 123755, rewards = -21.0, consume time = 574.2868051528931s
Episode 147 done: steps = 124798, rewards = -19.0, consume time = 579.3515951633453s
Episode 148 done: steps = 125676, rewards = -20.0, consume time = 583.6158730983734s
Episode 149 done: steps = 126519, rewards = -21.0, consume time = 587.6297359466553s
Episode 150 done: steps = 127302, rewards = -21.0, consume time = 591.4736731052399s
Episode 151 done: steps = 128281, rewards = -19.0, consume time = 596.0424451828003s
Episode 152 done: steps = 129197, rewards = -20.0, consume time = 600.4951522350311s
Episode 153 done: steps = 130050, rewards = -21.0, consume time = 604.5422940254211s
Episode 154 done: steps = 130842, rewards = -21.0, consume time = 608.3347561359406s
Episode 155 done: steps = 131653, rewards = -21.0, consume time = 612.1790192127228s
Episode 156 done: steps = 132479, rewards = -21.0, consume time = 616.2825012207031s
Episode 157 done: steps = 133447, rewards = -20.0, consume time = 620.9234671592712s
Episode 158 done: steps = 134407, rewards = -20.0, consume time = 625.3850462436676s
Episode 159 done: steps = 135245, rewards = -20.0, consume time = 629.4394571781158s
Episode 160 done: steps = 136263, rewards = -20.0, consume time = 634.3152930736542s
Episode 161 done: steps = 137284, rewards = -21.0, consume time = 639.196679353714s
Episode 162 done: steps = 138230, rewards = -20.0, consume time = 643.7216181755066s
Episode 163 done: steps = 139151, rewards = -19.0, consume time = 648.1233930587769s
Episode 164 done: steps = 140140, rewards = -21.0, consume time = 652.9216771125793s
Episode 165 done: steps = 140923, rewards = -21.0, consume time = 656.6942341327667s
Episode 166 done: steps = 141854, rewards = -20.0, consume time = 661.1196982860565s
Episode 167 done: steps = 142961, rewards = -20.0, consume time = 666.0950829982758s
Episode 168 done: steps = 143893, rewards = -20.0, consume time = 670.6024541854858s
Episode 169 done: steps = 144735, rewards = -20.0, consume time = 674.6550652980804s
Episode 170 done: steps = 145856, rewards = -19.0, consume time = 680.1557161808014s
Episode 171 done: steps = 146894, rewards = -20.0, consume time = 685.036865234375s
Episode 172 done: steps = 147746, rewards = -21.0, consume time = 689.1692931652069s
Episode 173 done: steps = 148618, rewards = -20.0, consume time = 693.4100251197815s
Episode 174 done: steps = 149522, rewards = -20.0, consume time = 697.7869250774384s
Episode 175 done: steps = 150363, rewards = -21.0, consume time = 701.9113161563873s
Episode 176 done: steps = 151215, rewards = -21.0, consume time = 705.9806542396545s
Episode 177 done: steps = 151997, rewards = -21.0, consume time = 709.6953911781311s
Episode 178 done: steps = 152835, rewards = -20.0, consume time = 713.7172961235046s
Episode 179 done: steps = 153689, rewards = -21.0, consume time = 717.8489151000977s
Episode 180 done: steps = 154573, rewards = -21.0, consume time = 722.1610651016235s
Episode 181 done: steps = 155492, rewards = -20.0, consume time = 726.7272870540619s
Episode 182 done: steps = 156425, rewards = -19.0, consume time = 731.3607633113861s
Episode 183 done: steps = 157419, rewards = -20.0, consume time = 736.1563951969147s
Episode 184 done: steps = 158211, rewards = -21.0, consume time = 740.0872411727905s
Episode 185 done: steps = 159003, rewards = -21.0, consume time = 744.0398631095886s
Episode 186 done: steps = 159827, rewards = -21.0, consume time = 748.0227992534637s
Episode 187 done: steps = 160651, rewards = -21.0, consume time = 752.0148460865021s
Episode 188 done: steps = 161692, rewards = -19.0, consume time = 757.0758361816406s
Episode 189 done: steps = 162534, rewards = -20.0, consume time = 761.1457359790802s
Episode 190 done: steps = 163528, rewards = -21.0, consume time = 765.9748351573944s
Episode 191 done: steps = 164396, rewards = -21.0, consume time = 770.2536611557007s
Episode 192 done: steps = 165234, rewards = -20.0, consume time = 774.4229309558868s
Episode 193 done: steps = 166171, rewards = -19.0, consume time = 779.0039002895355s
Episode 194 done: steps = 166954, rewards = -21.0, consume time = 782.7605950832367s
Episode 195 done: steps = 167825, rewards = -20.0, consume time = 787.0111191272736s
Episode 196 done: steps = 168627, rewards = -21.0, consume time = 790.8185691833496s
Episode 197 done: steps = 169529, rewards = -20.0, consume time = 795.1682722568512s
Episode 198 done: steps = 170381, rewards = -21.0, consume time = 799.4018621444702s
Episode 199 done: steps = 171321, rewards = -21.0, consume time = 803.9118363857269s
Episode 200 done: steps = 172265, rewards = -21.0, consume time = 808.5285682678223s
Episode 201 done: steps = 173117, rewards = -21.0, consume time = 812.6997640132904s
Episode 202 done: steps = 173960, rewards = -20.0, consume time = 816.8402800559998s
Episode 203 done: steps = 174965, rewards = -19.0, consume time = 821.7298769950867s
Episode 204 done: steps = 175847, rewards = -21.0, consume time = 826.1071491241455s
Episode 205 done: steps = 176671, rewards = -21.0, consume time = 830.2286903858185s
Episode 206 done: steps = 177574, rewards = -20.0, consume time = 834.5117321014404s
Episode 207 done: steps = 178417, rewards = -20.0, consume time = 838.6490640640259s
Episode 208 done: steps = 179255, rewards = -20.0, consume time = 842.8405261039734s
Episode 209 done: steps = 180163, rewards = -21.0, consume time = 847.3043341636658s
Episode 210 done: steps = 181124, rewards = -19.0, consume time = 852.1810240745544s
Episode 211 done: steps = 182111, rewards = -20.0, consume time = 856.9254732131958s
Episode 212 done: steps = 182935, rewards = -21.0, consume time = 860.9887733459473s
Episode 213 done: steps = 183759, rewards = -21.0, consume time = 864.9360620975494s
Episode 214 done: steps = 184597, rewards = -21.0, consume time = 869.0261991024017s
Episode 215 done: steps = 185501, rewards = -20.0, consume time = 873.3481459617615s
Episode 216 done: steps = 186427, rewards = -20.0, consume time = 877.7645401954651s
Episode 217 done: steps = 187251, rewards = -21.0, consume time = 881.9054782390594s
Episode 218 done: steps = 188213, rewards = -20.0, consume time = 886.941644191742s
Episode 219 done: steps = 189037, rewards = -21.0, consume time = 891.1718642711639s
Episode 220 done: steps = 189885, rewards = -21.0, consume time = 895.4805431365967s
Episode 221 done: steps = 190755, rewards = -20.0, consume time = 899.6858429908752s
Episode 222 done: steps = 191598, rewards = -20.0, consume time = 903.8791382312775s
Episode 223 done: steps = 192441, rewards = -20.0, consume time = 907.9157450199127s
Episode 224 done: steps = 193488, rewards = -20.0, consume time = 912.9156451225281s
Episode 225 done: steps = 194280, rewards = -21.0, consume time = 916.8242750167847s
Episode 226 done: steps = 195183, rewards = -20.0, consume time = 921.3413970470428s
Episode 227 done: steps = 196053, rewards = -20.0, consume time = 925.7153899669647s
Episode 228 done: steps = 196878, rewards = -21.0, consume time = 929.7966222763062s
Episode 229 done: steps = 197670, rewards = -21.0, consume time = 933.7075562477112s
Episode 230 done: steps = 198571, rewards = -21.0, consume time = 938.0452392101288s
Episode 231 done: steps = 199456, rewards = -21.0, consume time = 942.3277552127838s
Episode 232 done: steps = 200294, rewards = -20.0, consume time = 946.4077410697937s
Episode 233 done: steps = 201197, rewards = -20.0, consume time = 950.7458021640778s
Episode 234 done: steps = 202041, rewards = -20.0, consume time = 954.913045167923s
Episode 235 done: steps = 202922, rewards = -21.0, consume time = 959.2988691329956s
Episode 236 done: steps = 203765, rewards = -20.0, consume time = 963.5299770832062s
Episode 237 done: steps = 204737, rewards = -21.0, consume time = 968.260133266449s
Episode 238 done: steps = 205639, rewards = -20.0, consume time = 972.6527462005615s
Episode 239 done: steps = 206498, rewards = -20.0, consume time = 976.9923510551453s
Episode 240 done: steps = 207322, rewards = -21.0, consume time = 981.1299352645874s
Episode 241 done: steps = 208105, rewards = -21.0, consume time = 984.9602251052856s
Episode 242 done: steps = 209044, rewards = -19.0, consume time = 989.727452993393s
Episode 243 done: steps = 209887, rewards = -20.0, consume time = 993.8578391075134s
Episode 244 done: steps = 210757, rewards = -20.0, consume time = 998.1834182739258s
Episode 245 done: steps = 211612, rewards = -21.0, consume time = 1002.3391251564026s
Episode 246 done: steps = 212450, rewards = -20.0, consume time = 1006.4839880466461s
Episode 247 done: steps = 213233, rewards = -21.0, consume time = 1010.3282041549683s
Episode 248 done: steps = 214159, rewards = -20.0, consume time = 1014.886803150177s
Episode 249 done: steps = 214972, rewards = -21.0, consume time = 1018.961590051651s
Episode 250 done: steps = 215824, rewards = -21.0, consume time = 1023.0527722835541s
Episode 251 done: steps = 216766, rewards = -21.0, consume time = 1027.5387952327728s
Episode 252 done: steps = 217609, rewards = -20.0, consume time = 1031.7066230773926s
Episode 253 done: steps = 218453, rewards = -20.0, consume time = 1035.7624020576477s
Episode 254 done: steps = 219247, rewards = -21.0, consume time = 1039.5781590938568s
Episode 255 done: steps = 220106, rewards = -20.0, consume time = 1043.851968050003s
Episode 256 done: steps = 220899, rewards = -21.0, consume time = 1047.836543083191s
Episode 257 done: steps = 221855, rewards = -20.0, consume time = 1052.5838632583618s
Episode 258 done: steps = 222681, rewards = -21.0, consume time = 1056.5659742355347s
Episode 259 done: steps = 223473, rewards = -21.0, consume time = 1060.533753156662s
Episode 260 done: steps = 224315, rewards = -20.0, consume time = 1064.785931110382s
Episode 261 done: steps = 225098, rewards = -21.0, consume time = 1068.6637291908264s
Episode 262 done: steps = 225941, rewards = -21.0, consume time = 1072.6788170337677s
Episode 263 done: steps = 226765, rewards = -21.0, consume time = 1076.829329252243s
