Episode 1 done, steps = 373, rewards = 30.0, consume time = 1.141042947769165s
Episode 2 done, steps = 833, rewards = 120.0, consume time = 2.5423409938812256s
Episode 3 done, steps = 1333, rewards = 155.0, consume time = 4.12791895866394s
Episode 4 done, steps = 1880, rewards = 105.0, consume time = 5.850139856338501s
Episode 5 done, steps = 2684, rewards = 335.0, consume time = 8.433818101882935s
Episode 6 done, steps = 3097, rewards = 30.0, consume time = 9.782137155532837s
Episode 7 done, steps = 3504, rewards = 135.0, consume time = 11.150448083877563s
Episode 8 done, steps = 4031, rewards = 130.0, consume time = 12.890070915222168s
Episode 9 done, steps = 4415, rewards = 75.0, consume time = 14.181754112243652s
Episode 10 done, steps = 4902, rewards = 120.0, consume time = 15.794193983078003s
Episode 11 done, steps = 5473, rewards = 195.0, consume time = 17.7443630695343s
Episode 12 done, steps = 5885, rewards = 100.0, consume time = 19.177550077438354s
Episode 13 done, steps = 6451, rewards = 185.0, consume time = 21.137251138687134s
Episode 14 done, steps = 6901, rewards = 35.0, consume time = 22.66270899772644s
Episode 15 done, steps = 7233, rewards = 10.0, consume time = 23.845598936080933s
Episode 16 done, steps = 7954, rewards = 440.0, consume time = 26.31780982017517s
Episode 17 done, steps = 8420, rewards = 30.0, consume time = 27.98443293571472s
Episode 18 done, steps = 9282, rewards = 210.0, consume time = 30.968395948410034s
Episode 19 done, steps = 9972, rewards = 225.0, consume time = 33.3671669960022s
Episode 20 done, steps = 10507, rewards = 135.0, consume time = 35.326348066329956s
Episode 21 done, steps = 11030, rewards = 205.0, consume time = 37.24339294433594s
Episode 22 done, steps = 11514, rewards = 195.0, consume time = 39.014029026031494s
Episode 23 done, steps = 12024, rewards = 120.0, consume time = 40.944923877716064s
Episode 24 done, steps = 12405, rewards = 125.0, consume time = 42.33587288856506s
Episode 25 done, steps = 12941, rewards = 160.0, consume time = 44.35271596908569s
Episode 26 done, steps = 13395, rewards = 120.0, consume time = 46.01044201850891s
Episode 27 done, steps = 14203, rewards = 295.0, consume time = 49.01253604888916s
Episode 28 done, steps = 15019, rewards = 210.0, consume time = 51.97141408920288s
Episode 29 done, steps = 15529, rewards = 105.0, consume time = 53.88603591918945s
Episode 30 done, steps = 16045, rewards = 180.0, consume time = 55.753849029541016s
Episode 31 done, steps = 16340, rewards = 30.0, consume time = 56.868940114974976s
Episode 32 done, steps = 16931, rewards = 155.0, consume time = 59.04218006134033s
Episode 33 done, steps = 17225, rewards = 20.0, consume time = 60.1573748588562s
Episode 34 done, steps = 17801, rewards = 380.0, consume time = 62.3853759765625s
Episode 35 done, steps = 18201, rewards = 55.0, consume time = 63.89946389198303s
Episode 36 done, steps = 18461, rewards = 35.0, consume time = 64.91739010810852s
Episode 37 done, steps = 18927, rewards = 80.0, consume time = 66.64974689483643s
Episode 38 done, steps = 19428, rewards = 155.0, consume time = 68.58599805831909s
Episode 39 done, steps = 19924, rewards = 125.0, consume time = 70.43469905853271s
Episode 40 done, steps = 20331, rewards = 35.0, consume time = 72.01630091667175s
Episode 41 done, steps = 20684, rewards = 65.0, consume time = 73.33288502693176s
Episode 42 done, steps = 21194, rewards = 150.0, consume time = 75.24400615692139s
Episode 43 done, steps = 21747, rewards = 130.0, consume time = 77.29575490951538s
Episode 44 done, steps = 22102, rewards = 110.0, consume time = 78.62666392326355s
Episode 45 done, steps = 22835, rewards = 215.0, consume time = 81.45345902442932s
Episode 46 done, steps = 23640, rewards = 425.0, consume time = 84.54360914230347s
Episode 47 done, steps = 24212, rewards = 185.0, consume time = 86.75048184394836s
Episode 48 done, steps = 24549, rewards = 125.0, consume time = 88.07225298881531s
Episode 49 done, steps = 24894, rewards = 60.0, consume time = 89.39860916137695s
Episode 50 done, steps = 25752, rewards = 370.0, consume time = 92.70921015739441s
Episode 51 done, steps = 26228, rewards = 110.0, consume time = 94.61678194999695s
Episode 52 done, steps = 26525, rewards = 30.0, consume time = 95.78165197372437s
Episode 53 done, steps = 27148, rewards = 90.0, consume time = 98.16841006278992s
Episode 54 done, steps = 27455, rewards = 50.0, consume time = 99.4022479057312s
Episode 55 done, steps = 27847, rewards = 60.0, consume time = 100.95989298820496s
Episode 56 done, steps = 28219, rewards = 10.0, consume time = 102.44954586029053s
Episode 57 done, steps = 28633, rewards = 95.0, consume time = 103.99922704696655s
Episode 58 done, steps = 29145, rewards = 165.0, consume time = 105.93452215194702s
Episode 59 done, steps = 29461, rewards = 55.0, consume time = 107.1784360408783s
Episode 60 done, steps = 29982, rewards = 140.0, consume time = 109.19220399856567s
Episode 61 done, steps = 30327, rewards = 105.0, consume time = 110.52169299125671s
Episode 62 done, steps = 30635, rewards = 75.0, consume time = 111.70565819740295s
Episode 63 done, steps = 31331, rewards = 170.0, consume time = 114.328782081604s
Episode 64 done, steps = 32168, rewards = 285.0, consume time = 117.59489798545837s
Episode 65 done, steps = 32571, rewards = 80.0, consume time = 119.15036582946777s
Episode 66 done, steps = 33074, rewards = 100.0, consume time = 121.13435101509094s
Episode 67 done, steps = 33603, rewards = 150.0, consume time = 123.16834783554077s
Episode 68 done, steps = 34074, rewards = 20.0, consume time = 125.06231904029846s
Episode 69 done, steps = 34655, rewards = 225.0, consume time = 127.31918787956238s
Episode 70 done, steps = 35348, rewards = 240.0, consume time = 130.04053807258606s
Episode 71 done, steps = 35866, rewards = 135.0, consume time = 133.0016119480133s
Episode 72 done, steps = 36240, rewards = 110.0, consume time = 134.43195009231567s
Episode 73 done, steps = 36840, rewards = 250.0, consume time = 136.71079301834106s
Episode 74 done, steps = 37322, rewards = 80.0, consume time = 138.63321709632874s
Episode 75 done, steps = 37868, rewards = 185.0, consume time = 140.62566709518433s
Episode 76 done, steps = 38787, rewards = 370.0, consume time = 144.2092878818512s
Episode 77 done, steps = 39414, rewards = 155.0, consume time = 146.75963592529297s
Episode 78 done, steps = 39789, rewards = 110.0, consume time = 148.27460193634033s
Episode 79 done, steps = 40210, rewards = 90.0, consume time = 150.01574897766113s
Episode 80 done, steps = 40922, rewards = 440.0, consume time = 152.8499219417572s
Episode 81 done, steps = 41735, rewards = 415.0, consume time = 156.14428997039795s
Episode 82 done, steps = 42008, rewards = 85.0, consume time = 157.19851899147034s
Episode 83 done, steps = 42430, rewards = 110.0, consume time = 158.85227274894714s
Episode 84 done, steps = 42839, rewards = 110.0, consume time = 160.4717719554901s
Episode 85 done, steps = 43260, rewards = 80.0, consume time = 162.08780694007874s
Episode 86 done, steps = 43648, rewards = 110.0, consume time = 163.5987901687622s
Episode 87 done, steps = 44011, rewards = 80.0, consume time = 165.01032280921936s
Episode 88 done, steps = 44520, rewards = 95.0, consume time = 166.93813610076904s
Episode 89 done, steps = 45257, rewards = 205.0, consume time = 169.70894694328308s
Episode 90 done, steps = 45561, rewards = 35.0, consume time = 170.8730490207672s
Episode 91 done, steps = 46024, rewards = 255.0, consume time = 172.71353483200073s
Episode 92 done, steps = 46515, rewards = 180.0, consume time = 174.59534001350403s
Episode 93 done, steps = 46986, rewards = 155.0, consume time = 176.35609197616577s
Episode 94 done, steps = 47507, rewards = 95.0, consume time = 178.31664896011353s
Episode 95 done, steps = 47885, rewards = 20.0, consume time = 179.7799789905548s
Episode 96 done, steps = 48434, rewards = 90.0, consume time = 181.9529149532318s
Episode 97 done, steps = 48955, rewards = 180.0, consume time = 183.96473121643066s
Episode 98 done, steps = 49477, rewards = 140.0, consume time = 185.98483300209045s
Episode 99 done, steps = 50114, rewards = 205.0, consume time = 188.53397297859192s
Episode 100 done, steps = 50762, rewards = 225.0, consume time = 190.99237990379333s
Episode 101 done, steps = 51239, rewards = 110.0, consume time = 192.87390995025635s
Episode 102 done, steps = 51768, rewards = 165.0, consume time = 194.90242886543274s
