Episode 1 done, steps = 914, loss = 985.5460815429688, rewards = -21.0, consume time = 38.75110602378845s
Episode 2 done, steps = 1798, loss = 822.023681640625, rewards = -21.0, consume time = 77.12544894218445s
Episode 3 done, steps = 2592, loss = 403.8453063964844, rewards = -21.0, consume time = 112.84208106994629s
Episode 4 done, steps = 3588, loss = 2411.882080078125, rewards = -20.0, consume time = 152.95116424560547s
Episode 5 done, steps = 4491, loss = 1629.6226806640625, rewards = -21.0, consume time = 186.7967312335968s
Episode 6 done, steps = 5345, loss = 1415.6820068359375, rewards = -21.0, consume time = 217.65906190872192s
Episode 7 done, steps = 6230, loss = 470.5947570800781, rewards = -21.0, consume time = 252.49191999435425s
Episode 8 done, steps = 7215, loss = 435.03228759765625, rewards = -19.0, consume time = 292.26797795295715s
Episode 9 done, steps = 8039, loss = 146.9434051513672, rewards = -21.0, consume time = 324.7322008609772s
Episode 10 done, steps = 8910, loss = 509.8039245605469, rewards = -21.0, consume time = 358.61900997161865s
Episode 11 done, steps = 10017, loss = 318.7015075683594, rewards = -19.0, consume time = 402.92312383651733s
Episode 12 done, steps = 10800, loss = 266.2005310058594, rewards = -21.0, consume time = 434.8218660354614s
Episode 13 done, steps = 11790, loss = 230.40023803710938, rewards = -21.0, consume time = 469.60237216949463s
Episode 14 done, steps = 12753, loss = 410.2523498535156, rewards = -20.0, consume time = 503.2993531227112s
Episode 15 done, steps = 13577, loss = 89.52120208740234, rewards = -21.0, consume time = 533.3125629425049s
Episode 16 done, steps = 14761, loss = 502.5099182128906, rewards = -21.0, consume time = 574.7947771549225s
Episode 17 done, steps = 15553, loss = 93.49053192138672, rewards = -21.0, consume time = 602.4242238998413s
Episode 18 done, steps = 16469, loss = 942.0240478515625, rewards = -20.0, consume time = 633.0725560188293s
Episode 19 done, steps = 17262, loss = 2938.630859375, rewards = -21.0, consume time = 659.3558399677277s
Episode 20 done, steps = 18084, loss = 231.44921875, rewards = -21.0, consume time = 687.8827610015869s
Episode 21 done, steps = 19284, loss = 207.89942932128906, rewards = -18.0, consume time = 732.243036031723s
Episode 22 done, steps = 20155, loss = 48.61357116699219, rewards = -21.0, consume time = 763.0063002109528s
Episode 23 done, steps = 20998, loss = 45.78232192993164, rewards = -21.0, consume time = 791.8774631023407s
Episode 24 done, steps = 21946, loss = 36.63178253173828, rewards = -20.0, consume time = 823.5118162631989s
Episode 25 done, steps = 22729, loss = 7.69341516494751, rewards = -21.0, consume time = 851.1795392036438s
Episode 26 done, steps = 23649, loss = 6.105814456939697, rewards = -20.0, consume time = 883.9182510375977s
Episode 27 done, steps = 24691, loss = 3.249934673309326, rewards = -19.0, consume time = 920.5636038780212s
Episode 28 done, steps = 25739, loss = 5.615376949310303, rewards = -20.0, consume time = 954.6065211296082s
Episode 29 done, steps = 26810, loss = 1.679880976676941, rewards = -18.0, consume time = 989.365630865097s
Episode 30 done, steps = 27856, loss = 2.0437171459198, rewards = -19.0, consume time = 1023.3785049915314s
Episode 31 done, steps = 28735, loss = 1.699620246887207, rewards = -20.0, consume time = 1052.3685550689697s
Episode 32 done, steps = 29649, loss = 1.6481515169143677, rewards = -21.0, consume time = 1082.1170880794525s
Episode 33 done, steps = 30579, loss = 5.025991916656494, rewards = -21.0, consume time = 1115.7973470687866s
Episode 34 done, steps = 31450, loss = 13.429556846618652, rewards = -20.0, consume time = 1143.9971702098846s
Episode 35 done, steps = 32597, loss = 1.9655100107192993, rewards = -18.0, consume time = 1180.9986910820007s
Episode 36 done, steps = 33527, loss = 1.4746794700622559, rewards = -20.0, consume time = 1211.1965460777283s
Episode 37 done, steps = 34494, loss = 2.726658582687378, rewards = -19.0, consume time = 1242.526349067688s
Episode 38 done, steps = 35360, loss = 1.5947701930999756, rewards = -20.0, consume time = 1270.585286140442s
Episode 39 done, steps = 36285, loss = 1.0948395729064941, rewards = -20.0, consume time = 1300.4270730018616s
Episode 40 done, steps = 37127, loss = 1.8471899032592773, rewards = -20.0, consume time = 1327.7591500282288s
Episode 41 done, steps = 38057, loss = 1.546556830406189, rewards = -21.0, consume time = 1357.4878890514374s
Episode 42 done, steps = 39057, loss = 1.784170389175415, rewards = -20.0, consume time = 1389.3813140392303s
Episode 43 done, steps = 40166, loss = 1.9840887784957886, rewards = -19.0, consume time = 1425.1527121067047s
Episode 44 done, steps = 41084, loss = 1.2485333681106567, rewards = -20.0, consume time = 1458.0042390823364s
