Episode 1 done, steps = 824, actions = [0:57/824 | 1:81/824 | 2:172/824 | 3:142/824 | 4:287/824 | 5:85/824, ], loss = -3.919891119003296, rewards = -21.0, consume time = 2.3097620010375977s
Episode 2 done, steps = 1674, actions = [0:441/850 | 1:2/850 | 2:172/850 | 3:4/850 | 4:7/850 | 5:224/850, ], loss = -2.30135178565979, rewards = -21.0, consume time = 4.722405195236206s
Episode 3 done, steps = 2438, actions = [0:397/764 | 1:0/764 | 2:3/764 | 3:0/764 | 4:0/764 | 5:364/764, ], loss = -1.7325804233551025, rewards = -21.0, consume time = 6.926828145980835s
Episode 4 done, steps = 3202, actions = [0:64/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:700/764, ], loss = -0.6992906332015991, rewards = -21.0, consume time = 9.107391119003296s
Episode 5 done, steps = 3966, actions = [0:71/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:693/764, ], loss = -0.7353928685188293, rewards = -21.0, consume time = 11.301088094711304s
Episode 6 done, steps = 4730, actions = [0:28/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:736/764, ], loss = -0.3670397996902466, rewards = -21.0, consume time = 13.57442307472229s
Episode 7 done, steps = 5494, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:764/764, ], loss = -0.01239880733191967, rewards = -21.0, consume time = 15.825461149215698s
Episode 8 done, steps = 6258, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -0.0005240691243670881, rewards = -21.0, consume time = 18.083649158477783s
Episode 9 done, steps = 7022, actions = [0:2/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:762/764, ], loss = -0.005881237797439098, rewards = -21.0, consume time = 20.310768127441406s
Episode 10 done, steps = 7786, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -3.4912325645564124e-05, rewards = -21.0, consume time = 22.53388214111328s
Episode 11 done, steps = 8550, actions = [0:1/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:0/764 | 5:763/764, ], loss = -6.106544788053725e-06, rewards = -21.0, consume time = 24.77981996536255s
