Episode 1 done, steps = 900, actions = [0,1/1 | 1,0/1 | 2,0/1 | 3,0/1 | 4,0/1 | 5,0/1, ], loss = -3.0083281993865967, rewards = -20.0, consume time = 2.6671969890594482s
Episode 2 done, steps = 1664, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -0.09070831537246704, rewards = -21.0, consume time = 4.843233823776245s
Episode 3 done, steps = 2428, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -0.0015799241373315454, rewards = -21.0, consume time = 7.0159149169921875s
Episode 4 done, steps = 3192, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -0.002979593351483345, rewards = -21.0, consume time = 9.186443090438843s
Episode 5 done, steps = 3956, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -0.19912751019001007, rewards = -21.0, consume time = 11.350996971130371s
Episode 6 done, steps = 4720, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -1.6000696420669556, rewards = -21.0, consume time = 13.604069948196411s
Episode 7 done, steps = 5484, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -0.4270731806755066, rewards = -21.0, consume time = 15.792494773864746s
Episode 8 done, steps = 6308, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -0.025595400482416153, rewards = -21.0, consume time = 18.19672203063965s
Episode 9 done, steps = 7132, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -0.0007310719229280949, rewards = -21.0, consume time = 20.572978019714355s
Episode 10 done, steps = 12872, actions = [0,21/21 | 1,0/21 | 2,0/21 | 3,0/21 | 4,0/21 | 5,0/21, ], loss = 7.34072964405641e-05, rewards = 21.0, consume time = 36.26935791969299s
Episode 11 done, steps = 13636, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -0.00012053408136125654, rewards = -21.0, consume time = 38.50806474685669s
Episode 12 done, steps = 14400, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -3.8142112316563725e-05, rewards = -21.0, consume time = 40.62931275367737s
Episode 13 done, steps = 15164, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -1.5753241314087063e-05, rewards = -21.0, consume time = 42.77795195579529s
Episode 14 done, steps = 15928, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -7.384676791843958e-06, rewards = -21.0, consume time = 44.94571805000305s
Episode 15 done, steps = 16692, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -3.7971701658534585e-06, rewards = -21.0, consume time = 47.122642993927s
Episode 16 done, steps = 17456, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -2.1308294435584685e-06, rewards = -21.0, consume time = 49.34541606903076s
Episode 17 done, steps = 18220, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -1.2753258715747506e-06, rewards = -21.0, consume time = 51.57857584953308s
Episode 18 done, steps = 18984, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -7.951132374728331e-07, rewards = -21.0, consume time = 53.77396297454834s
Episode 19 done, steps = 19748, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -5.181793767405907e-07, rewards = -21.0, consume time = 55.96659779548645s
Episode 20 done, steps = 20512, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -3.4840064699892537e-07, rewards = -21.0, consume time = 58.24583101272583s
Episode 21 done, steps = 21276, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -2.45667138187855e-07, rewards = -21.0, consume time = 60.49079394340515s
Episode 22 done, steps = 22040, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -1.786670082992714e-07, rewards = -21.0, consume time = 62.748461961746216s
Episode 23 done, steps = 22804, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -1.3400024556631251e-07, rewards = -21.0, consume time = 64.98152184486389s
Episode 24 done, steps = 23568, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -1.0273352302192507e-07, rewards = -21.0, consume time = 67.24303698539734s
Episode 25 done, steps = 24332, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -8.486682645525434e-08, rewards = -21.0, consume time = 69.52476811408997s
Episode 26 done, steps = 25096, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -6.700012278315626e-08, rewards = -21.0, consume time = 71.8211178779602s
Episode 27 done, steps = 25860, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -5.360010035815321e-08, rewards = -21.0, consume time = 74.13238477706909s
Episode 28 done, steps = 26624, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -4.466675207481785e-08, rewards = -21.0, consume time = 76.35783576965332s
Episode 29 done, steps = 27388, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -4.020007438043649e-08, rewards = -21.0, consume time = 78.58753490447998s
Episode 30 done, steps = 28152, actions = [0,0/0 | 1,0/0 | 2,0/0 | 3,0/0 | 4,0/0 | 5,0/0, ], loss = -3.573340023876881e-08, rewards = -21.0, consume time = 80.85943984985352s
