Episode 1 done, steps = 764, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = -0.00013550305448006839, v_loss = 5.223362445831299, rewards = -21.0, consume time = 4.339658975601196s
Episode 2 done, steps = 1528, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 5.8042778968811035, rewards = -21.0, consume time = 8.679750919342041s
Episode 3 done, steps = 2292, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 7.24111795425415, rewards = -21.0, consume time = 13.004141092300415s
Episode 4 done, steps = 3056, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 6.950188636779785, rewards = -21.0, consume time = 17.378019094467163s
Episode 5 done, steps = 3820, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 5.634464740753174, rewards = -21.0, consume time = 21.777211904525757s
Episode 6 done, steps = 4584, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 3.258014440536499, rewards = -21.0, consume time = 26.388917922973633s
Episode 7 done, steps = 5348, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 2.4684174060821533, rewards = -21.0, consume time = 30.787796020507812s
Episode 8 done, steps = 6112, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 8.451700210571289, rewards = -21.0, consume time = 35.240402936935425s
Episode 9 done, steps = 6876, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 5.117181301116943, rewards = -21.0, consume time = 39.69120478630066s
Episode 10 done, steps = 7640, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 3.6674365997314453, rewards = -21.0, consume time = 44.160337924957275s
Episode 11 done, steps = 8404, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 0.5016831159591675, rewards = -21.0, consume time = 48.62678003311157s
Episode 12 done, steps = 9168, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 0.517008900642395, rewards = -21.0, consume time = 53.19901704788208s
Episode 13 done, steps = 9932, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 0.5799856781959534, rewards = -21.0, consume time = 57.83367395401001s
Episode 14 done, steps = 10696, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 0.4304322302341461, rewards = -21.0, consume time = 62.92087697982788s
Episode 15 done, steps = 11460, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 0.14034488797187805, rewards = -21.0, consume time = 68.41482400894165s
Episode 16 done, steps = 12224, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 0.1406526267528534, rewards = -21.0, consume time = 73.5913200378418s
Episode 17 done, steps = 12988, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 0.06290076673030853, rewards = -21.0, consume time = 78.59267401695251s
Episode 18 done, steps = 13752, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 0.05401765555143356, rewards = -21.0, consume time = 83.16729712486267s
Episode 19 done, steps = 14516, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 0.058591488748788834, rewards = -21.0, consume time = 88.03443789482117s
Episode 20 done, steps = 15280, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 4.021505355834961, rewards = -21.0, consume time = 92.89794683456421s
Episode 21 done, steps = 16044, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 3.8030357360839844, rewards = -21.0, consume time = 97.83178281784058s
Episode 22 done, steps = 16808, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 3.762939691543579, rewards = -21.0, consume time = 102.52015495300293s
Episode 23 done, steps = 17572, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 3.624079465866089, rewards = -21.0, consume time = 107.52571392059326s
Episode 24 done, steps = 18336, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:764/764 | 4:0/764 | 5:0/764 | ], p_loss = 0, v_loss = 3.887967348098755, rewards = -21.0, consume time = 112.11907196044922s
