Episode 1 done, steps = 726, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:1/726 | 5:725/726 | ], p_loss = -1.7461434254073538e-07, v_loss = 18.27067756652832, rewards = 285.0, consume time = 3.134826898574829s
Episode 2 done, steps = 1452, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 39.9836311340332, rewards = 285.0, consume time = 5.5427868366241455s
Episode 3 done, steps = 2178, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 41.194252014160156, rewards = 285.0, consume time = 7.925786733627319s
Episode 4 done, steps = 2904, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 53.401023864746094, rewards = 285.0, consume time = 10.30403470993042s
Episode 5 done, steps = 3630, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 42.18550491333008, rewards = 285.0, consume time = 12.67430567741394s
Episode 6 done, steps = 4356, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 13.224296569824219, rewards = 285.0, consume time = 15.037138938903809s
Episode 7 done, steps = 5082, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 13.784420013427734, rewards = 285.0, consume time = 17.397318840026855s
Episode 8 done, steps = 5808, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 6.470917701721191, rewards = 285.0, consume time = 19.773314714431763s
Episode 9 done, steps = 6534, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 18.92991828918457, rewards = 285.0, consume time = 22.302329778671265s
Episode 10 done, steps = 7260, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 26.591915130615234, rewards = 285.0, consume time = 25.04581093788147s
Episode 11 done, steps = 7986, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 16.994014739990234, rewards = 285.0, consume time = 27.546316623687744s
Episode 12 done, steps = 8712, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 136.63113403320312, rewards = 285.0, consume time = 30.07270574569702s
Episode 13 done, steps = 9438, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 474.7177734375, rewards = 285.0, consume time = 32.639930725097656s
Episode 14 done, steps = 10164, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 385.627685546875, rewards = 285.0, consume time = 35.18256592750549s
Episode 15 done, steps = 10890, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 255.88124084472656, rewards = 285.0, consume time = 37.6960608959198s
Episode 16 done, steps = 11616, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 187.87416076660156, rewards = 285.0, consume time = 40.217190742492676s
Episode 17 done, steps = 12342, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 161.3721160888672, rewards = 285.0, consume time = 42.791709899902344s
Episode 18 done, steps = 13068, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 115.7761459350586, rewards = 285.0, consume time = 45.317747831344604s
Episode 19 done, steps = 13794, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 105.75930786132812, rewards = 285.0, consume time = 47.82773280143738s
Episode 20 done, steps = 14520, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 107.67294311523438, rewards = 285.0, consume time = 50.34994196891785s
Episode 21 done, steps = 15246, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 63.27626419067383, rewards = 285.0, consume time = 53.08707785606384s
Episode 22 done, steps = 15972, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 39.440391540527344, rewards = 285.0, consume time = 55.60556888580322s
Episode 23 done, steps = 16698, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 28.084386825561523, rewards = 285.0, consume time = 58.22193789482117s
Episode 24 done, steps = 17424, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 21.8924560546875, rewards = 285.0, consume time = 60.92273187637329s
Episode 25 done, steps = 18150, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 28.354713439941406, rewards = 285.0, consume time = 63.714024782180786s
Episode 26 done, steps = 18876, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 26.593366622924805, rewards = 285.0, consume time = 66.44184970855713s
Episode 27 done, steps = 19602, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 25.326173782348633, rewards = 285.0, consume time = 69.05505084991455s
Episode 28 done, steps = 20328, actions = [0:0/726 | 1:0/726 | 2:0/726 | 3:0/726 | 4:0/726 | 5:726/726 | ], p_loss = 0, v_loss = 38.43707275390625, rewards = 285.0, consume time = 71.67683100700378s
