Episode 1 done, steps = 1000, actions = [0:9/1000 | 1:5/1000 | 2:973/1000 | 3:12/1000 | 4:1/1000 | ], p_loss = 2550.66064453125, v_loss = 2.5527957979045686e+25, rewards = -83.66013071895372, consume time = 10.891989946365356s
Episode 2 done, steps = 2000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 7.626204973418411e+25, rewards = -92.7007299270063, consume time = 20.964987993240356s
Episode 3 done, steps = 3000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 1.565196826814778e+26, rewards = -93.50649350649246, consume time = 31.40125799179077s
Episode 4 done, steps = 4000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 2.46755417752658e+26, rewards = -94.08284023668531, consume time = 42.25046706199646s
Episode 5 done, steps = 5000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 3.806939429514179e+26, rewards = -93.22033898304981, consume time = 53.131195068359375s
Episode 6 done, steps = 6000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 5.2734795641413844e+26, rewards = -92.98245614034987, consume time = 65.13902425765991s
Episode 7 done, steps = 7000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 6.163686597934156e+26, rewards = -93.58974358974254, consume time = 76.22425127029419s
Episode 8 done, steps = 8000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 7.560011414854075e+26, rewards = -93.97590361445677, consume time = 87.53216505050659s
Episode 9 done, steps = 9000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 9.016758173052548e+26, rewards = -93.00699300699199, consume time = 98.69093203544617s
Episode 10 done, steps = 10000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 1.0657231550746116e+27, rewards = -92.2480620155029, consume time = 109.7418999671936s
Episode 11 done, steps = 11000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 1.2501193175926063e+27, rewards = -92.0634920634911, consume time = 121.23143410682678s
Episode 12 done, steps = 12000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 1.4633818306808572e+27, rewards = -92.98245614034987, consume time = 132.3605649471283s
Episode 13 done, steps = 13000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 1.6265689598805688e+27, rewards = -93.39933993399237, consume time = 143.64487099647522s
Episode 14 done, steps = 14000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 1.893346215396414e+27, rewards = -93.31103678929662, consume time = 154.36754608154297s
Episode 15 done, steps = 15000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 2.0319937147418462e+27, rewards = -92.15686274509707, consume time = 164.9866030216217s
Episode 16 done, steps = 16000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 2.2758305993276263e+27, rewards = -92.5925925925916, consume time = 175.22395300865173s
Episode 17 done, steps = 17000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 2.3920015526759825e+27, rewards = -93.8837920489286, consume time = 185.69069600105286s
Episode 18 done, steps = 18000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 2.7295650157347075e+27, rewards = -93.22033898304981, consume time = 195.99588990211487s
Episode 19 done, steps = 19000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 2.9638280401462324e+27, rewards = -93.54838709677315, consume time = 206.48087406158447s
Episode 20 done, steps = 20000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 3.1831675010281736e+27, rewards = -93.31103678929662, consume time = 216.63406324386597s
Episode 21 done, steps = 21000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 3.4057760201078814e+27, rewards = -92.98245614034987, consume time = 226.89784502983093s
Episode 22 done, steps = 22000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 3.5726674030915464e+27, rewards = -91.7355371900817, consume time = 237.18309807777405s
Episode 23 done, steps = 23000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 3.664859507605464e+27, rewards = -92.56505576208079, consume time = 247.4464030265808s
Episode 24 done, steps = 24000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 4.167645144670112e+27, rewards = -93.31103678929662, consume time = 257.90896105766296s
Episode 25 done, steps = 25000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 4.468653211506801e+27, rewards = -93.10344827586104, consume time = 268.65554308891296s
Episode 26 done, steps = 26000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 4.691552156125205e+27, rewards = -93.15068493150582, consume time = 279.4609920978546s
Episode 27 done, steps = 27000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 4.8779327455836733e+27, rewards = -92.2779922779913, consume time = 289.7918210029602s
Episode 28 done, steps = 28000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 5.264635826097567e+27, rewards = -93.39933993399237, consume time = 300.29884219169617s
Episode 29 done, steps = 29000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 5.557001667122699e+27, rewards = -92.7007299270063, consume time = 310.7185900211334s
Episode 30 done, steps = 30000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 5.865389907328397e+27, rewards = -92.7007299270063, consume time = 320.9461281299591s
Episode 31 done, steps = 31000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 6.216053362584555e+27, rewards = -93.65079365079261, consume time = 331.54128408432007s
Episode 32 done, steps = 32000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 6.53055588679395e+27, rewards = -93.37748344370758, consume time = 341.8953130245209s
Episode 33 done, steps = 33000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 6.867306660095763e+27, rewards = -93.50649350649246, consume time = 352.32384610176086s
Episode 34 done, steps = 34000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 7.22963613145204e+27, rewards = -93.39933993399237, consume time = 362.9612030982971s
Episode 35 done, steps = 35000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 7.563678627575928e+27, rewards = -93.93939393939287, consume time = 374.63091826438904s
Episode 36 done, steps = 36000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 7.71295676417011e+27, rewards = -91.8367346938766, consume time = 385.6874439716339s
Episode 37 done, steps = 37000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 7.804554735950902e+27, rewards = -93.3333333333323, consume time = 398.8798851966858s
Episode 38 done, steps = 38000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 8.584442935272237e+27, rewards = -93.54838709677315, consume time = 411.8163001537323s
Episode 39 done, steps = 39000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 8.928549384666931e+27, rewards = -93.1972789115636, consume time = 423.14873814582825s
Episode 40 done, steps = 40000, actions = [0:0/1000 | 1:0/1000 | 2:1000/1000 | 3:0/1000 | 4:0/1000 | ], p_loss = 0, v_loss = 9.333000003867164e+27, rewards = -92.30769230769133, consume time = 434.37398505210876s
