Episode 1 done, steps = 764, actions = [0:232/764 | 1:151/764 | 2:90/764 | 3:55/764 | 4:146/764 | 5:90/764 | ], p_loss = 0, v_loss = 0, rewards = -21.0, consume time = 0.35630226135253906s
Episode 2 done, steps = 1528, actions = [0:64/764 | 1:53/764 | 2:25/764 | 3:21/764 | 4:564/764 | 5:37/764 | ], p_loss = 0.019548192620277405, v_loss = 0.06256993114948273, rewards = -21.0, consume time = 18.887763023376465s
Episode 3 done, steps = 2292, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:764/764 | 5:0/764 | ], p_loss = 0.00689141359180212, v_loss = 0.06271691620349884, rewards = -21.0, consume time = 46.10830330848694s
Episode 4 done, steps = 3056, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:764/764 | 5:0/764 | ], p_loss = -0.013919173739850521, v_loss = 0.031702473759651184, rewards = -21.0, consume time = 73.61924719810486s
Episode 5 done, steps = 3820, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:764/764 | 5:0/764 | ], p_loss = -0.04232092946767807, v_loss = 0.06005992367863655, rewards = -21.0, consume time = 101.56125903129578s
Episode 6 done, steps = 4584, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:764/764 | 5:0/764 | ], p_loss = -0.07500024884939194, v_loss = 0.11758216470479965, rewards = -21.0, consume time = 129.64427709579468s
Episode 7 done, steps = 5348, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:764/764 | 5:0/764 | ], p_loss = -0.11374448239803314, v_loss = 0.0025749369524419308, rewards = -21.0, consume time = 158.03722715377808s
Episode 8 done, steps = 6112, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:764/764 | 5:0/764 | ], p_loss = -0.16397128999233246, v_loss = 0.03110235184431076, rewards = -21.0, consume time = 187.09809112548828s
Episode 9 done, steps = 6876, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:764/764 | 5:0/764 | ], p_loss = -0.20785292983055115, v_loss = 0.05931250751018524, rewards = -21.0, consume time = 216.25502228736877s
Episode 10 done, steps = 7640, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:764/764 | 5:0/764 | ], p_loss = -0.2631629705429077, v_loss = 0.06018226966261864, rewards = -21.0, consume time = 246.45201516151428s
Episode 11 done, steps = 8404, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:764/764 | 5:0/764 | ], p_loss = -0.31741705536842346, v_loss = 0.03094557672739029, rewards = -21.0, consume time = 278.55179810523987s
Episode 12 done, steps = 9168, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:764/764 | 5:0/764 | ], p_loss = -0.3700260519981384, v_loss = 0.06028006225824356, rewards = -21.0, consume time = 307.3130211830139s
Episode 13 done, steps = 9932, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:764/764 | 5:0/764 | ], p_loss = -0.4247410297393799, v_loss = 0.2117510437965393, rewards = -21.0, consume time = 335.9109492301941s
Episode 14 done, steps = 10696, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:764/764 | 5:0/764 | ], p_loss = -0.4765865206718445, v_loss = 0.0895216166973114, rewards = -21.0, consume time = 364.8154752254486s
Episode 15 done, steps = 11460, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:764/764 | 5:0/764 | ], p_loss = -0.5240833163261414, v_loss = 0.06024659425020218, rewards = -21.0, consume time = 393.25208616256714s
Episode 16 done, steps = 12224, actions = [0:0/764 | 1:0/764 | 2:0/764 | 3:0/764 | 4:764/764 | 5:0/764 | ], p_loss = -0.5658004879951477, v_loss = 0.030996963381767273, rewards = -21.0, consume time = 419.6489222049713s
