Episode 1 done, steps = 250, actions = [0:51/250 | 1:50/250 | 2:61/250 | 3:43/250 | 4:45/250 | ], loss = 0, rewards = -58.0645161290331, consume time = 4.918900012969971s
Episode 2 done, steps = 500, actions = [0:49/250 | 1:41/250 | 2:57/250 | 3:48/250 | 4:55/250 | ], loss = 0, rewards = -54.703832752614005, consume time = 9.85681414604187s
Episode 3 done, steps = 750, actions = [0:42/250 | 1:44/250 | 2:53/250 | 3:54/250 | 4:57/250 | ], loss = 0, rewards = -59.04436860068342, consume time = 14.27518630027771s
Episode 4 done, steps = 1000, actions = [0:43/250 | 1:44/250 | 2:58/250 | 3:56/250 | 4:49/250 | ], loss = 0.13161060214042664, rewards = -60.1328903654494, consume time = 18.823755025863647s
Episode 5 done, steps = 1250, actions = [0:44/250 | 1:47/250 | 2:51/250 | 3:73/250 | 4:35/250 | ], loss = 30.0476131439209, rewards = -47.565543071161734, consume time = 35.77345418930054s
Episode 6 done, steps = 1500, actions = [0:57/250 | 1:49/250 | 2:49/250 | 3:50/250 | 4:45/250 | ], loss = 26.777414321899414, rewards = -46.96969696969769, consume time = 52.71863007545471s
Episode 7 done, steps = 1750, actions = [0:42/250 | 1:50/250 | 2:56/250 | 3:51/250 | 4:51/250 | ], loss = 26.7806339263916, rewards = -51.67286245353237, consume time = 69.66578722000122s
Episode 8 done, steps = 2000, actions = [0:52/250 | 1:45/250 | 2:47/250 | 3:54/250 | 4:52/250 | ], loss = 26.879480361938477, rewards = -60.00000000000088, consume time = 86.5069649219513s
Episode 9 done, steps = 2250, actions = [0:36/250 | 1:58/250 | 2:57/250 | 3:41/250 | 4:58/250 | ], loss = 25.968236923217773, rewards = -65.18987341772232, consume time = 103.60085821151733s
Episode 10 done, steps = 2500, actions = [0:51/250 | 1:39/250 | 2:53/250 | 3:40/250 | 4:67/250 | ], loss = 25.017253875732422, rewards = -63.7462235649556, consume time = 120.42247223854065s
Episode 11 done, steps = 2750, actions = [0:38/250 | 1:57/250 | 2:49/250 | 3:50/250 | 4:56/250 | ], loss = 23.198627471923828, rewards = -59.876543209877454, consume time = 136.65567898750305s
Episode 12 done, steps = 3000, actions = [0:40/250 | 1:60/250 | 2:50/250 | 3:51/250 | 4:49/250 | ], loss = 25.401145935058594, rewards = -60.00000000000081, consume time = 153.1456880569458s
Episode 13 done, steps = 3250, actions = [0:46/250 | 1:45/250 | 2:46/250 | 3:55/250 | 4:58/250 | ], loss = 23.719810485839844, rewards = -58.62068965517317, consume time = 170.05103516578674s
Episode 14 done, steps = 3500, actions = [0:43/250 | 1:57/250 | 2:41/250 | 3:52/250 | 4:57/250 | ], loss = 25.781784057617188, rewards = -49.21875000000076, consume time = 186.0610899925232s
Episode 15 done, steps = 3750, actions = [0:62/250 | 1:42/250 | 2:33/250 | 3:59/250 | 4:54/250 | ], loss = 24.113298416137695, rewards = -55.17241379310423, consume time = 202.0035970211029s
Episode 16 done, steps = 4000, actions = [0:47/250 | 1:53/250 | 2:56/250 | 3:48/250 | 4:46/250 | ], loss = 24.687318801879883, rewards = -44.881889763780215, consume time = 218.07738208770752s
Episode 17 done, steps = 4250, actions = [0:63/250 | 1:47/250 | 2:57/250 | 3:38/250 | 4:45/250 | ], loss = 25.862131118774414, rewards = -58.86075949367177, consume time = 234.05907201766968s
